# R, Z, rho, Br, Bphi, Bz, dV
    0.19859702,    0.00000000,    0.09853509,   -0.00000000,  121.13740296,   19.23510537,    0.00002010
    0.19893439,    0.00202557,    0.09853509,    6.16655695,  120.93170932,   17.83043326,    0.00002010
    0.19989349,    0.00375702,    0.09853509,   11.37116919,  120.35047645,   13.86802640,    0.00002010
    0.20132696,    0.00495135,    0.09853509,   14.86469532,  119.49096825,    8.02449071,    0.00002009
    0.20302307,    0.00545387,    0.09853509,   16.23121966,  118.48723941,    1.21732218,    0.00002006
    0.20474346,    0.00521482,    0.09853509,   15.39842091,  117.48289195,   -5.58751807,    0.00002000
    0.20625955,    0.00428688,    0.09853509,   12.58158933,  116.60883392,  -11.51616601,    0.00001993
    0.20738139,    0.00280805,    0.09853509,    8.20855005,  115.96861816,  -15.86999172,    0.00001985
    0.20797608,    0.00097639,    0.09853509,    2.84868761,  115.63150925,  -18.16855423,    0.00001981
    0.20797608,   -0.00097639,    0.09853509,   -2.84868761,  115.63150925,  -18.16855423,    0.00001981
    0.20738139,   -0.00280805,    0.09853509,   -8.20855005,  115.96861816,  -15.86999172,    0.00001985
    0.20625955,   -0.00428688,    0.09853509,  -12.58158933,  116.60883392,  -11.51616601,    0.00001993
    0.20474346,   -0.00521482,    0.09853509,  -15.39842091,  117.48289195,   -5.58751807,    0.00002000
    0.20302307,   -0.00545387,    0.09853509,  -16.23121966,  118.48723941,    1.21732218,    0.00002006
    0.20132696,   -0.00495135,    0.09853509,  -14.86469532,  119.49096825,    8.02449071,    0.00002009
    0.19989349,   -0.00375702,    0.09853509,  -11.37116919,  120.35047645,   13.86802640,    0.00002010
    0.19893439,   -0.00202557,    0.09853509,   -6.16655695,  120.93170932,   17.83043326,    0.00002010
    0.18809697,    0.00000000,    0.30453573,   -0.00000000,  109.47004210,   49.58965201,    0.00011122
    0.18931719,    0.00696136,    0.30453573,   16.52029926,  108.76215458,   45.16794599,    0.00011129
    0.19270508,    0.01272325,    0.30453573,   29.41895012,  106.85760217,   33.39221460,    0.00011146
    0.19758465,    0.01644387,    0.30453573,   36.86322588,  104.24259904,   17.46437874,    0.00011163
    0.20313580,    0.01773822,    0.30453573,   38.72702614,  101.41703852,    0.37221977,    0.00011141
    0.20855684,    0.01661073,    0.30453573,   35.65527333,   98.79499471,  -15.71852612,    0.00011018
    0.21315464,    0.01338697,    0.30453573,   28.53191089,   96.67272718,  -29.23226618,    0.00010776
    0.21643014,    0.00862510,    0.30453573,   18.37506094,   95.21682045,  -38.95914559,    0.00010487
    0.21811456,    0.00297004,    0.30453573,    6.33716630,   94.48760410,  -44.04170078,    0.00010285
    0.21811456,   -0.00297004,    0.30453573,   -6.33716630,   94.48760410,  -44.04170078,    0.00010285
    0.21643014,   -0.00862510,    0.30453573,  -18.37506094,   95.21682045,  -38.95914559,    0.00010487
    0.21315464,   -0.01338697,    0.30453573,  -28.53191089,   96.67272718,  -29.23226618,    0.00010776
    0.20855684,   -0.01661073,    0.30453573,  -35.65527333,   98.79499471,  -15.71852612,    0.00011018
    0.20313580,   -0.01773822,    0.30453573,  -38.72702614,  101.41703852,    0.37221977,    0.00011141
    0.19758465,   -0.01644387,    0.30453573,  -36.86322588,  104.24259904,   17.46437874,    0.00011163
    0.19270508,   -0.01272325,    0.30453573,  -29.41895012,  106.85760217,   33.39221460,    0.00011146
    0.18931719,   -0.00696136,    0.30453573,  -16.52029926,  108.76215458,   45.16794599,    0.00011129
    0.17325414,    0.00000000,    0.56202519,   -0.00000000,   95.91810983,   61.37009267,    0.00026669
    0.17597891,    0.01510358,    0.56202519,   20.46046191,   94.42535973,   53.95799241,    0.00026850
    0.18323073,    0.02697466,    0.56202519,   34.02031830,   90.67337563,   36.64708175,    0.00027190
    0.19310006,    0.03401227,    0.56202519,   39.92382729,   86.01867749,   16.93771100,    0.00027567
    0.20386801,    0.03598661,    0.56202519,   40.24208990,   81.45168622,   -1.81836345,    0.00027765
    0.21411561,    0.03321353,    0.56202519,   36.52805016,   77.53698244,  -18.86539248,    0.00027243
    0.22262862,    0.02644068,    0.56202519,   29.41391148,   74.56940723,  -33.78020699,    0.00025928
    0.22855606,    0.01683479,    0.56202519,   19.19675799,   72.62390070,  -45.38700165,    0.00024235
    0.23152254,    0.00574618,    0.56202519,    6.67606411,   71.68360486,  -51.83623829,    0.00022962
    0.23152254,   -0.00574618,    0.56202519,   -6.67606411,   71.68360486,  -51.83623829,    0.00022962
    0.22855606,   -0.01683479,    0.56202519,  -19.19675799,   72.62390070,  -45.38700165,    0.00024235
    0.22262862,   -0.02644068,    0.56202519,  -29.41391148,   74.56940723,  -33.78020699,    0.00025928
    0.21411561,   -0.03321353,    0.56202519,  -36.52805016,   77.53698244,  -18.86539248,    0.00027243
    0.20386801,   -0.03598661,    0.56202519,  -40.24208990,   81.45168622,   -1.81836345,    0.00027765
    0.19310006,   -0.03401227,    0.56202519,  -39.92382729,   86.01867749,   16.93771100,    0.00027567
    0.18323073,   -0.02697466,    0.56202519,  -34.02031830,   90.67337563,   36.64708175,    0.00027190
    0.17597891,   -0.01510358,    0.56202519,  -20.46046191,   94.42535973,   53.95799241,    0.00026850
    0.15941093,    0.00000000,    0.80198658,   -0.00000000,   98.01801560,   55.94758834,    0.00027080
    0.16323192,    0.02329677,    0.80198658,   16.23643037,   95.72698497,   47.06482101,    0.00028372
    0.17332682,    0.04150547,    0.80198658,   24.72237695,   90.16340342,   29.45506721,    0.00031085
    0.18700670,    0.05242866,    0.80198658,   27.03682093,   83.58811584,   13.22008429,    0.00033905
    0.20207110,    0.05593085,    0.80198658,   26.59143339,   77.37767239,   -0.23707726,    0.00035464
    0.21662077,    0.05234304,    0.80198658,   24.85941023,   72.19522275,  -12.51571152,    0.00034438
    0.22906614,    0.04241221,    0.80198658,   21.62709075,   68.27242508,  -25.21494188,    0.00031602
    0.23809535,    0.02735969,    0.80198658,   15.52572878,   65.69373867,  -38.01410289,    0.00027807
    0.24270780,    0.00937829,    0.80198658,    5.75445022,   64.45997599,  -46.80610723,    0.00024855
    0.24270780,   -0.00937829,    0.80198658,   -5.75445022,   64.45997599,  -46.80610723,    0.00024855
    0.23809535,   -0.02735969,    0.80198658,  -15.52572878,   65.69373867,  -38.01410289,    0.00027807
    0.22906614,   -0.04241221,    0.80198658,  -21.62709075,   68.27242508,  -25.21494188,    0.00031602
    0.21662077,   -0.05234304,    0.80198658,  -24.85941023,   72.19522275,  -12.51571152,    0.00034438
    0.20207110,   -0.05593085,    0.80198658,  -26.59143339,   77.37767239,   -0.23707726,    0.00035464
    0.18700670,   -0.05242866,    0.80198658,  -27.03682093,   83.58811584,   13.22008429,    0.00033905
    0.17332682,   -0.04150547,    0.80198658,  -24.72237695,   90.16340342,   29.45506721,    0.00031085
    0.16323192,   -0.02329677,    0.80198658,  -16.23643037,   95.72698497,   47.06482101,    0.00028372
    0.15168214,    0.00000000,    0.96019014,   -0.00000000,  103.30460673,   50.75967748,    0.00011592
    0.15527827,    0.02678699,    0.96019014,   11.73729901,  100.92530075,   41.96837664,    0.00012833
    0.16531675,    0.04920651,    0.96019014,   16.78691250,   94.81684514,   25.26437091,    0.00016147
    0.18001478,    0.06434825,    0.96019014,   17.25526408,   87.06422720,   11.53237703,    0.00020216
    0.19726990,    0.07070895,    0.96019014,   16.65103324,   79.42727418,    1.59260889,    0.00022760
    0.21474555,    0.06775158,    0.96019014,   16.23740636,   72.94493683,   -7.26009796,    0.00022119
    0.23027401,    0.05594684,    0.96019014,   15.63306720,   68.01493011,  -17.84442109,    0.00018976
    0.24190937,    0.03669500,    0.96019014,   12.87247162,   64.73317245,  -31.39498472,    0.00015060
    0.24805608,    0.01272956,    0.96019014,    5.32666923,   63.12196662,  -43.19705191,    0.00012458
    0.24805608,   -0.01272956,    0.96019014,   -5.32666923,   63.12196662,  -43.19705191,    0.00012458
    0.24190937,   -0.03669500,    0.96019014,  -12.87247162,   64.73317245,  -31.39498472,    0.00015060
    0.23027401,   -0.05594684,    0.96019014,  -15.63306720,   68.01493011,  -17.84442109,    0.00018976
    0.21474555,   -0.06775158,    0.96019014,  -16.23740636,   72.94493683,   -7.26009796,    0.00022119
    0.19726990,   -0.07070895,    0.96019014,  -16.65103324,   79.42727418,    1.59260889,    0.00022760
    0.18001478,   -0.06434825,    0.96019014,  -17.25526408,   87.06422720,   11.53237703,    0.00020216
    0.16531675,   -0.04920651,    0.96019014,  -16.78691250,   94.81684514,   25.26437091,    0.00016147
    0.15527827,   -0.02678699,    0.96019014,  -11.73729901,  100.92530075,   41.96837664,    0.00012833
